start,end,duration,note,midi,frequency_hz,estimated_midi,confidence,method
157.455,157.617,0.163,B6,95,1975.53,95.2,0.891,
157.774,157.861,0.087,A#6,94,1864.66,94.2,0.827,
157.872,158.11,0.238,E6,88,1318.51,87.8,0.946,
158.79,158.894,0.104,G6,91,1567.98,91.05,0.651,
159.184,159.271,0.087,G6,91,1567.98,91.3,0.616,
162.766,162.888,0.122,A#6,94,1864.66,94.0,0.891,
162.934,163.329,0.395,A#6,94,1864.66,93.5,0.891,
163.341,163.527,0.186,C#6,85,1108.73,85.3,0.399,
163.747,163.84,0.093,D#6,87,1244.51,86.75,0.718,
163.997,164.2,0.203,G#6,92,1661.22,92.4,0.891,
164.461,164.595,0.134,C#6,85,1108.73,85.05,0.371,
164.746,164.838,0.093,D#6,87,1244.51,87.4,0.485,
167.689,167.782,0.093,C7,96,2093.0,95.5,0.582,
169.779,169.906,0.128,D#6,87,1244.51,86.7,0.326,
170.051,170.231,0.18,B6,95,1975.53,95.47,0.827,
170.452,171.003,0.551,D6,86,1174.66,86.3,0.548,
171.119,171.212,0.093,B6,95,1975.53,94.65,0.686,
171.52,171.671,0.151,C7,96,2093.0,95.5,0.891,
171.775,171.897,0.122,A6,93,1760.0,93.1,0.946,
171.897,172.037,0.139,C7,96,2093.0,95.6,0.919,
172.147,172.275,0.128,A6,93,1760.0,93.1,0.859,
172.28,172.426,0.145,F6,89,1396.91,88.6,0.426,
175.508,175.676,0.168,A#6,94,1864.66,93.7,0.985,
176.379,176.785,0.406,D#6,87,1244.51,87.4,0.985,
177.035,177.197,0.163,D5,74,587.33,74.0,0.686,
177.4,177.65,0.25,B6,95,1975.53,95.0,0.686,
182.416,182.544,0.128,B6,95,1975.53,95.15,0.985,
182.625,182.753,0.128,A#6,94,1864.66,94.0,0.891,
182.88,183.298,0.418,D6,86,1174.66,85.8,0.452,
183.316,183.536,0.221,A#6,94,1864.66,94.4,0.985,
183.943,184.053,0.11,D#6,87,1244.51,87.1,0.757,
184.506,184.604,0.099,B6,95,1975.53,95.4,0.891,
184.692,184.796,0.104,A#6,94,1864.66,94.5,0.756,
188.337,188.436,0.099,F#6,90,1479.98,90.1,0.891,
